waypoint1	waypoint2	distance_m	duration_s
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	North Dakota State Capitol, Bismarck, ND 58501	2555394	22.523611111111112
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	North Carolina State Capitol, Raleigh, NC 27601	3628835	33.34361111111111
Maine State House, Augusta, ME 04330	Utah State Capitol, Salt Lake City, UT 84103	4056973	36.73361111111111
Georgia State Capitol, Atlanta, GA 30334	2 E Main St, Madison, WI 53703	1396771	12.522777777777778
Vermont State House, 115 State Street, Montpelier, VT 05633	2 E Main St, Madison, WI 53703	1777622	17.235833333333332
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	4722133	43.030277777777776
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Nevada State Capitol, Carson City, NV 89701	3735753	34.01277777777778
Massachusetts State House, Boston, MA 02108	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1246212	11.47888888888889
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	300 SW 10th Ave, Topeka, KS 66612	780685	7.1033333333333335
Louisiana State Capitol, Baton Rouge, LA 70802	Nevada State Capitol, Carson City, NV 89701	3319161	30.426666666666666
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Maryland State House, 100 State Cir, Annapolis, MD 21401	3696277	33.754444444444445
Nevada State Capitol, Carson City, NV 89701	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	1086169	11.026111111111112
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	334062	3.2086111111111113
402 S Monroe St, Tallahassee, FL 32301	West Virginia State Capitol, Charleston, WV 25317	1133547	11.511111111111111
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Louisiana State Capitol, Baton Rouge, LA 70802	1998869	18.3225
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	3894102	35.33111111111111
700 W Jefferson St, Boise, ID 83720	North Carolina State Capitol, Raleigh, NC 27601	3930023	35.38611111111111
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Vermont State House, 115 State Street, Montpelier, VT 05633	4207835	38.82194444444445
200 E Colfax Ave, Denver, CO 80203	500 E Capitol Ave, Pierre, SD 57501	844954	8.028333333333334
402 S Monroe St, Tallahassee, FL 32301	Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	1078970	10.289722222222222
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Missouri State Capitol, Jefferson City, MO 65101	554812	5.858888888888889
New Jersey State House, Trenton, NJ 08608	Oklahoma State Capitol, Oklahoma City, OK 73105	2251698	20.604166666666668
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	North Carolina State Capitol, Raleigh, NC 27601	1779142	16.510277777777777
Illinois State Capitol, Springfield, IL 62756	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	697787	6.743888888888889
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	North Dakota State Capitol, Bismarck, ND 58501	2668685	24.16583333333333
300 SW 10th Ave, Topeka, KS 66612	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	2925507	26.209444444444443
Georgia State Capitol, Atlanta, GA 30334	Rhode Island State House, 82 Smith Street, Providence, RI 02903	1687443	15.93
Louisiana State Capitol, Baton Rouge, LA 70802	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	2390708	21.575277777777778
Nevada State Capitol, Carson City, NV 89701	Utah State Capitol, Salt Lake City, UT 84103	880839	7.743611111111111
402 S Monroe St, Tallahassee, FL 32301	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	570645	6.329722222222222
North Carolina State Capitol, Raleigh, NC 27601	North Dakota State Capitol, Bismarck, ND 58501	2649871	24.302222222222223
200 E Colfax Ave, Denver, CO 80203	North Carolina State Capitol, Raleigh, NC 27601	2688370	24.213333333333335
500 E Capitol Ave, Pierre, SD 57501	West Virginia State Capitol, Charleston, WV 25317	2059330	18.691388888888888
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	State House, 107 North Main Street, Concord, NH 03303	2364261	22.52111111111111
Louisiana State Capitol, Baton Rouge, LA 70802	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1553207	14.011944444444444
400-498 N West St, Jackson, MS 39201	Nevada State Capitol, Carson City, NV 89701	3284019	30.118333333333332
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Illinois State Capitol, Springfield, IL 62756	1053119	9.519444444444444
Missouri State Capitol, Jefferson City, MO 65101	Virginia State Capitol, Richmond, VA 23219	1532730	13.918333333333333
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Utah State Capitol, Salt Lake City, UT 84103	3490982	31.87527777777778
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1059373	9.633333333333333
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	300 SW 10th Ave, Topeka, KS 66612	1442611	12.900833333333333
Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	Wyoming State Capitol, Cheyenne, WY 82001	2580236	23.32777777777778
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1909649	17.545833333333334
Indiana State Capitol, Indianapolis, IN 46204	Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	758123	7.004444444444444
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Massachusetts State House, Boston, MA 02108	163033	1.6980555555555557
300 SW 10th Ave, Topeka, KS 66612	Rhode Island State House, 82 Smith Street, Providence, RI 02903	2321198	21.662777777777777
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Illinois State Capitol, Springfield, IL 62756	2502392	22.606944444444444
Nevada State Capitol, Carson City, NV 89701	2 E Main St, Madison, WI 53703	3065319	27.260277777777777
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	400-498 N West St, Jackson, MS 39201	2366978	20.807222222222222
Indiana State Capitol, Indianapolis, IN 46204	Rhode Island State House, 82 Smith Street, Providence, RI 02903	1446931	13.763333333333334
Maryland State House, 100 State Cir, Annapolis, MD 21401	500 E Capitol Ave, Pierre, SD 57501	2446586	22.220277777777778
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Massachusetts State House, Boston, MA 02108	4261483	38.669444444444444
500 E Capitol Ave, Pierre, SD 57501	Vermont State House, 115 State Street, Montpelier, VT 05633	2804324	26.13222222222222
Vermont State House, 115 State Street, Montpelier, VT 05633	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4928200	45.08638888888889
Illinois State Capitol, Springfield, IL 62756	Utah State Capitol, Salt Lake City, UT 84103	2121657	19.371388888888887
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	2 E Main St, Madison, WI 53703	2099306	19.149166666666666
North Dakota State Capitol, Bismarck, ND 58501	Rhode Island State House, 82 Smith Street, Providence, RI 02903	2907302	26.524444444444445
700 W Jefferson St, Boise, ID 83720	West Virginia State Capitol, Charleston, WV 25317	3421174	30.551666666666666
300 SW 10th Ave, Topeka, KS 66612	Wyoming State Capitol, Cheyenne, WY 82001	1016304	8.745555555555555
Georgia State Capitol, Atlanta, GA 30334	Maryland State House, 100 State Cir, Annapolis, MD 21401	1082137	9.9925
South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1870907	16.675833333333333
North Carolina State Capitol, Raleigh, NC 27601	500 E Capitol Ave, Pierre, SD 57501	2566101	23.543055555555554
Maine State House, Augusta, ME 04330	Wyoming State Capitol, Cheyenne, WY 82001	3349736	30.32638888888889
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	3364264	30.154166666666665
L St & 10th St, Sacramento, CA 95814	State House, 107 North Main Street, Concord, NH 03303	4819339	44.10638888888889
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Nevada State Capitol, Carson City, NV 89701	3008237	27.350833333333334
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	1875100	17.163611111111113
L St & 10th St, Sacramento, CA 95814	Maryland State House, 100 State Cir, Annapolis, MD 21401	4434054	39.71194444444444
Louisiana State Capitol, Baton Rouge, LA 70802	Vermont State House, 115 State Street, Montpelier, VT 05633	2643406	24.621944444444445
700 W Jefferson St, Boise, ID 83720	Michigan State Capitol, Lansing, MI 48933	3051430	27.051388888888887
Michigan State Capitol, Lansing, MI 48933	500 E Capitol Ave, Pierre, SD 57501	1631881	14.58611111111111
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Maryland State House, 100 State Cir, Annapolis, MD 21401	1340229	12.249444444444444
Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	Utah State Capitol, Salt Lake City, UT 84103	2629654	23.787777777777777
Maryland State House, 100 State Cir, Annapolis, MD 21401	New Jersey State House, Trenton, NJ 08608	262813	2.633611111111111
Nevada State Capitol, Carson City, NV 89701	State House, 107 North Main Street, Concord, NH 03303	4648498	42.49944444444444
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Nevada State Capitol, Carson City, NV 89701	4507409	40.7575
Maine State House, Augusta, ME 04330	West Virginia State Capitol, Charleston, WV 25317	1458292	13.589166666666667
200 E Colfax Ave, Denver, CO 80203	North Dakota State Capitol, Bismarck, ND 58501	1115101	10.553333333333333
Nevada State Capitol, Carson City, NV 89701	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	832440	8.6625
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	4892402	44.316944444444445
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	New Mexico State Capitol, Santa Fe, NM 87501	1899972	16.586111111111112
New Jersey State House, Trenton, NJ 08608	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	4712435	42.61805555555556
Illinois State Capitol, Springfield, IL 62756	Missouri State Capitol, Jefferson City, MO 65101	335367	3.391111111111111
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2969380	26.964444444444446
402 S Monroe St, Tallahassee, FL 32301	Indiana State Capitol, Indianapolis, IN 46204	1253894	11.976666666666667
Maine State House, Augusta, ME 04330	Minnesota State Capitol, St Paul, MN 55155	2483764	22.751666666666665
Maryland State House, 100 State Cir, Annapolis, MD 21401	Massachusetts State House, Boston, MA 02108	686203	6.848611111111111
400-498 N West St, Jackson, MS 39201	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	2126538	19.275555555555556
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	2 E Main St, Madison, WI 53703	781082	7.281944444444444
200 E Colfax Ave, Denver, CO 80203	Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	3023952	27.3175
Michigan State Capitol, Lansing, MI 48933	Missouri State Capitol, Jefferson City, MO 65101	960368	8.884722222222223
Georgia State Capitol, Atlanta, GA 30334	Minnesota State Capitol, St Paul, MN 55155	1803693	16.06972222222222
300 SW 10th Ave, Topeka, KS 66612	New Mexico State Capitol, Santa Fe, NM 87501	1113558	10.723333333333333
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Minnesota State Capitol, St Paul, MN 55155	1917773	17.89361111111111
Georgia State Capitol, Atlanta, GA 30334	Massachusetts State House, Boston, MA 02108	1737475	16.463055555555556
New Mexico State Capitol, Santa Fe, NM 87501	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1948400	17.435833333333335
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Maine State House, Augusta, ME 04330	2338330	21.378055555555555
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Oklahoma State Capitol, Oklahoma City, OK 73105	2249555	20.97888888888889
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	993281	9.273055555555555
200 E Colfax Ave, Denver, CO 80203	Rhode Island State House, 82 Smith Street, Providence, RI 02903	3149582	28.52111111111111
L St & 10th St, Sacramento, CA 95814	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	4330179	38.74888888888889
402 S Monroe St, Tallahassee, FL 32301	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	3703198	33.8
400-498 N West St, Jackson, MS 39201	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	1371664	13.203611111111112
Louisiana State Capitol, Baton Rouge, LA 70802	Massachusetts State House, Boston, MA 02108	2546224	23.336111111111112
L St & 10th St, Sacramento, CA 95814	North Carolina State Capitol, Raleigh, NC 27601	4499451	40.45944444444444
Michigan State Capitol, Lansing, MI 48933	Minnesota State Capitol, St Paul, MN 55155	1004428	9.137777777777778
Oklahoma State Capitol, Oklahoma City, OK 73105	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1092426	9.8425
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	1369160	12.65638888888889
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Massachusetts State House, Boston, MA 02108	1995567	18.72
300 SW 10th Ave, Topeka, KS 66612	North Carolina State Capitol, Raleigh, NC 27601	1821308	16.68722222222222
200 E Colfax Ave, Denver, CO 80203	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	2072303	19.064722222222223
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	905401	8.324722222222222
Maine State House, Augusta, ME 04330	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	3405003	31.066388888888888
400-498 N West St, Jackson, MS 39201	Vermont State House, 115 State Street, Montpelier, VT 05633	2379235	22.322222222222223
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	2651879	23.929444444444446
200 E Colfax Ave, Denver, CO 80203	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	2024609	18.102777777777778
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Virginia State Capitol, Richmond, VA 23219	1111807	10.0725
Vermont State House, 115 State Street, Montpelier, VT 05633	West Virginia State Capitol, Charleston, WV 25317	1307877	12.747777777777777
200 E Colfax Ave, Denver, CO 80203	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	2564693	22.948333333333334
South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	West Virginia State Capitol, Charleston, WV 25317	569053	5.368888888888889
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	400-498 N West St, Jackson, MS 39201	399927	4.009444444444444
Louisiana State Capitol, Baton Rouge, LA 70802	Minnesota State Capitol, St Paul, MN 55155	1900670	17.549166666666668
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Vermont State House, 115 State Street, Montpelier, VT 05633	1492754	14.696666666666667
New Mexico State Capitol, Santa Fe, NM 87501	2 E Main St, Madison, WI 53703	2012902	18.82138888888889
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	473386	4.486944444444444
State House, 107 North Main Street, Concord, NH 03303	500 E Capitol Ave, Pierre, SD 57501	2843784	26.504166666666666
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Minnesota State Capitol, St Paul, MN 55155	1857595	16.41888888888889
Maryland State House, 100 State Cir, Annapolis, MD 21401	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	1980198	18.176388888888887
Indiana State Capitol, Indianapolis, IN 46204	Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	267015	2.671388888888889
Maine State House, Augusta, ME 04330	Missouri State Capitol, Jefferson City, MO 65101	2364114	21.656388888888888
200 E Colfax Ave, Denver, CO 80203	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1857910	16.49972222222222
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	North Dakota State Capitol, Bismarck, ND 58501	2615571	23.998333333333335
300 SW 10th Ave, Topeka, KS 66612	Oklahoma State Capitol, Oklahoma City, OK 73105	473488	4.159722222222222
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Minnesota State Capitol, St Paul, MN 55155	2649346	24.74138888888889
Rhode Island State House, 82 Smith Street, Providence, RI 02903	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1729221	15.988611111111112
North Carolina State Capitol, Raleigh, NC 27601	Utah State Capitol, Salt Lake City, UT 84103	3456831	31.470833333333335
402 S Monroe St, Tallahassee, FL 32301	Georgia State Capitol, Atlanta, GA 30334	420539	4.3533333333333335
200 E Colfax Ave, Denver, CO 80203	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	779919	6.818888888888889
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	New Mexico State Capitol, Santa Fe, NM 87501	2160641	19.406111111111112
Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	917431	8.471944444444444
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Wyoming State Capitol, Cheyenne, WY 82001	713490	6.3675
700 W Jefferson St, Boise, ID 83720	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	782531	7.341388888888889
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Nevada State Capitol, Carson City, NV 89701	4337141	39.470555555555556
Indiana State Capitol, Indianapolis, IN 46204	North Dakota State Capitol, Bismarck, ND 58501	1640234	14.748055555555556
Massachusetts State House, Boston, MA 02108	Wyoming State Capitol, Cheyenne, WY 82001	3101206	28.11722222222222
