waypoint1	waypoint2	distance_m	duration_s
2 E Main St, Madison, WI 53703	Wyoming State Capitol, Cheyenne, WY 82001	1484756	13.459166666666667
L St & 10th St, Sacramento, CA 95814	Virginia State Capitol, Richmond, VA 23219	4496033	40.22388888888889
Michigan State Capitol, Lansing, MI 48933	North Dakota State Capitol, Bismarck, ND 58501	1702226	15.2425
Michigan State Capitol, Lansing, MI 48933	Oklahoma State Capitol, Oklahoma City, OK 73105	1577431	14.1075
New Jersey State House, Trenton, NJ 08608	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1050714	9.756944444444445
Maryland State House, 100 State Cir, Annapolis, MD 21401	West Virginia State Capitol, Charleston, WV 25317	624275	5.811111111111111
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Missouri State Capitol, Jefferson City, MO 65101	1933062	17.850277777777777
402 S Monroe St, Tallahassee, FL 32301	Vermont State House, 115 State Street, Montpelier, VT 05633	2270947	20.70388888888889
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Virginia State Capitol, Richmond, VA 23219	3620386	32.61944444444445
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	4310134	38.85166666666667
Nevada State Capitol, Carson City, NV 89701	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	4417580	39.431666666666665
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Missouri State Capitol, Jefferson City, MO 65101	1654361	15.761111111111111
Maryland State House, 100 State Cir, Annapolis, MD 21401	Nevada State Capitol, Carson City, NV 89701	4238501	38.34916666666667
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	3965649	35.45805555555555
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Michigan State Capitol, Lansing, MI 48933	3125553	28.08
300 SW 10th Ave, Topeka, KS 66612	Virginia State Capitol, Richmond, VA 23219	1817890	16.451666666666668
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	207363	2.6302777777777777
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Oklahoma State Capitol, Oklahoma City, OK 73105	873294	7.731944444444444
New Jersey State House, Trenton, NJ 08608	Vermont State House, 115 State Street, Montpelier, VT 05633	609928	5.969722222222222
Minnesota State Capitol, St Paul, MN 55155	North Dakota State Capitol, Bismarck, ND 58501	701087	6.226111111111111
700 W Jefferson St, Boise, ID 83720	Rhode Island State House, 82 Smith Street, Providence, RI 02903	4262023	38.382222222222225
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	1410057	12.826666666666666
Maryland State House, 100 State Cir, Annapolis, MD 21401	Michigan State Capitol, Lansing, MI 48933	984795	9.165
New Jersey State House, Trenton, NJ 08608	West Virginia State Capitol, Charleston, WV 25317	775909	7.272222222222222
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	Wyoming State Capitol, Cheyenne, WY 82001	2836858	25.635833333333334
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Vermont State House, 115 State Street, Montpelier, VT 05633	3858914	35.9
Oklahoma State Capitol, Oklahoma City, OK 73105	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1708829	15.338333333333333
Louisiana State Capitol, Baton Rouge, LA 70802	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	4032674	36.91388888888889
Minnesota State Capitol, St Paul, MN 55155	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1215946	11.09361111111111
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1177643	10.660277777777777
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Indiana State Capitol, Indianapolis, IN 46204	2734360	24.705277777777777
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	State House, 107 North Main Street, Concord, NH 03303	2090541	19.531666666666666
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	500 E Capitol Ave, Pierre, SD 57501	2545226	23.341944444444444
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Wyoming State Capitol, Cheyenne, WY 82001	1012033	9.015
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	200 E Colfax Ave, Denver, CO 80203	1556144	13.736944444444445
L St & 10th St, Sacramento, CA 95814	Nevada State Capitol, Carson City, NV 89701	209218	2.620277777777778
L St & 10th St, Sacramento, CA 95814	Indiana State Capitol, Indianapolis, IN 46204	3518613	31.3025
New Mexico State Capitol, Santa Fe, NM 87501	500 E Capitol Ave, Pierre, SD 57501	1398667	13.206666666666667
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	300 SW 10th Ave, Topeka, KS 66612	1939553	18.27861111111111
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	1209098	11.276388888888889
Missouri State Capitol, Jefferson City, MO 65101	Rhode Island State House, 82 Smith Street, Providence, RI 02903	2036038	19.129722222222224
Louisiana State Capitol, Baton Rouge, LA 70802	2 E Main St, Madison, WI 53703	1648573	14.640555555555556
402 S Monroe St, Tallahassee, FL 32301	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	1991155	17.946944444444444
700 W Jefferson St, Boise, ID 83720	Massachusetts State House, Boston, MA 02108	4283333	38.500277777777775
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	North Carolina State Capitol, Raleigh, NC 27601	3499526	31.790555555555557
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Massachusetts State House, Boston, MA 02108	611507	6.089722222222222
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Louisiana State Capitol, Baton Rouge, LA 70802	552559	6.1066666666666665
Indiana State Capitol, Indianapolis, IN 46204	Wyoming State Capitol, Cheyenne, WY 82001	1769573	15.93138888888889
700 W Jefferson St, Boise, ID 83720	North Dakota State Capitol, Bismarck, ND 58501	1653552	14.968055555555555
L St & 10th St, Sacramento, CA 95814	New Jersey State House, Trenton, NJ 08608	4526276	40.489444444444445
Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	West Virginia State Capitol, Charleston, WV 25317	4182133	37.61138888888889
Georgia State Capitol, Atlanta, GA 30334	Nevada State Capitol, Carson City, NV 89701	3827390	34.82694444444444
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	3016589	27.24
200 E Colfax Ave, Denver, CO 80203	Utah State Capitol, Salt Lake City, UT 84103	841152	7.91
South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	Utah State Capitol, Salt Lake City, UT 84103	3334079	30.226666666666667
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	West Virginia State Capitol, Charleston, WV 25317	265168	2.6933333333333334
200 E Colfax Ave, Denver, CO 80203	Vermont State House, 115 State Street, Montpelier, VT 05633	3117244	28.791666666666668
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	2180753	20.04
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Vermont State House, 115 State Street, Montpelier, VT 05633	2344034	22.141111111111112
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Utah State Capitol, Salt Lake City, UT 84103	774035	6.633333333333334
300 SW 10th Ave, Topeka, KS 66612	Maine State House, Augusta, ME 04330	2649936	24.170833333333334
Michigan State Capitol, Lansing, MI 48933	West Virginia State Capitol, Charleston, WV 25317	679517	6.6338888888888885
New Mexico State Capitol, Santa Fe, NM 87501	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	2920958	26.529444444444444
400-498 N West St, Jackson, MS 39201	2 E Main St, Madison, WI 53703	1365734	12.152222222222223
State House, 107 North Main Street, Concord, NH 03303	Rhode Island State House, 82 Smith Street, Providence, RI 02903	198603	1.9908333333333332
Massachusetts State House, Boston, MA 02108	Oklahoma State Capitol, Oklahoma City, OK 73105	2710778	24.665277777777778
Illinois State Capitol, Springfield, IL 62756	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	1213082	11.370833333333334
200 E Colfax Ave, Denver, CO 80203	West Virginia State Capitol, Charleston, WV 25317	2179520	19.378888888888888
Maine State House, Augusta, ME 04330	North Dakota State Capitol, Bismarck, ND 58501	3181562	28.85638888888889
400-498 N West St, Jackson, MS 39201	North Carolina State Capitol, Raleigh, NC 27601	1266179	11.560555555555556
Illinois State Capitol, Springfield, IL 62756	Wyoming State Capitol, Cheyenne, WY 82001	1414419	12.964166666666667
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Nevada State Capitol, Carson City, NV 89701	2565429	23.017222222222223
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	832772	7.963055555555556
Maryland State House, 100 State Cir, Annapolis, MD 21401	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2513292	22.845833333333335
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Louisiana State Capitol, Baton Rouge, LA 70802	2386413	21.665555555555557
